document,year,doc_type,page_number,category,pattern_matched,extracted_text,context,word_count
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,11,Target/Goal,commitment,commitment,"20 Annual Benefit Corporation Report Sharing Best Practices  with Other Companies In support of our commitment to “use business to inspire  and implement solutions to the environmental crisis,” we will  share p",63
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,12,Target/Goal,renewable energy,renewable energy,"to date, through our venture capital  fund, Tin Shed Ventures®. These businesses  focus on building renewable energy  infrastructure, practicing Regenerative  Organic methods, conserving water, diverting  waste and c",185
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,14,Target/Goal,reduce,reduce,y students that participated  in the 5th Annual Patagonia Case Competition  to propose solutions to reduce waste  generated throughout the entire life cycle of  our products—from design and manufacturing  t,118
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,16,Target/Goal,living wage,Living Wage,nefits flat for four years. 100 Percentage of Patagonia  employees in the US who are  paid at least Living Wage. 96  Percentage of Patagonia’s eligible  US employees who put money  away for retirement through th,368
PAT_2020_BCorp_Report-REV-100125.pdf,2020,BCorp Report,16,Target/Goal,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)",$4.5 million,"he early phase of  the COVID-19 pandemic, in  advance of any state or federally  required closures. $4.5 Million Precautionary pay hours paid  to hourly employees who were  unable to go into a Patagonia  facility",368
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,2,Target/Goal,commitment,commitment,"agonia Provisions, Inc. and Fletcher Chouinard Designs, Inc.,  adopted six specific benefit purpose commitments (which you’ll find  listed and described within) that govern our operations at the most  fundament",135
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,5,Target/Goal,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)",$3m,"2020 so our employees could vote. 20,843 Hours of skill-based volunteering donated (valued  at over $3M) through Patagonia Action Works. 1% for the Planet",220
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,6,Target/Goal,recycled,recycled,ng and fabricating products that are easily repaired and  made from materials that can be reused or recycled; 3) designing and fabricating products with  minimal impacts throughout the supply chain—including ,122
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,6,Target/Goal,supply chain,supply chain,"n be reused or recycled; 3) designing and fabricating products with  minimal impacts throughout the supply chain—including resource extraction, manufacturing and  transportation—on water use, water quality, energ",122
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,Target/Goal,recycled,recycled,"69,944 Pounds of old Patagonia garments that could not be  repaired or reused that were responsibly recycled. Build the Best Product with No Unnecessary Harm Virgin petroleum-based products (POLYESTER/NYLON) ",311
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,Target/Goal,recycled,Recycled,. Build the Best Product with No Unnecessary Harm Virgin petroleum-based products (POLYESTER/NYLON) Recycled materials Virgin cotton and other plant-based materials Virgin wool and other animal products PATAG,311
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,Target/Goal,fair trade,Fair Trade,"pliers are  bluesign® System Partners. 75,000  Number of factory apparel workers who have  earned a Fair Trade premium for their labor and  received improved benefits from Patagonia’s  participation in the Fair",311
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,Target/Goal,fair trade,Fair Trade,rade premium for their labor and  received improved benefits from Patagonia’s  participation in the Fair Trade USA program. 185  Number of people who attended virtual workshops  and discussions on topics includ,311
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,7,Target/Goal,fair trade,Fair Trade,"mber of people who attended Worn  Wear Tour events in Taiwan. 83% Percentage of our styles that are Fair Trade  Certified™ sewn, up from 73% in FY20. 800 Number of organic cotton farmers  involved in Patagonia’",311
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,8,Target/Goal,reduce,reduce,"m We will conduct our operations in a manner causing no  unnecessary harm by continually seeking to reduce the  environmental footprint and impact of our operations in water  use, water quality, energy use,",54
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,9,Target/Goal,scope 1,Scope 1,"o Unnecessary Harm PATAGONIA’S GREENHOUSE GAS FOOTPRINT   (In metric ton carbon dioxide equivalent) Scope 1 Scope 2 Scope 3 TOTAL 1,082 3,027 162,948 167,057 FY18 1,041 4,114 223,285 228,440 FY19 1,442 3,744",233
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,9,Target/Goal,scope 2,Scope 2,"ssary Harm PATAGONIA’S GREENHOUSE GAS FOOTPRINT   (In metric ton carbon dioxide equivalent) Scope 1 Scope 2 Scope 3 TOTAL 1,082 3,027 162,948 167,057 FY18 1,041 4,114 223,285 228,440 FY19 1,442 3,744 219,379",233
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,9,Target/Goal,scope 3,Scope 3,"rm PATAGONIA’S GREENHOUSE GAS FOOTPRINT   (In metric ton carbon dioxide equivalent) Scope 1 Scope 2 Scope 3 TOTAL 1,082 3,027 162,948 167,057 FY18 1,041 4,114 223,285 228,440 FY19 1,442 3,744 219,379 224,565",233
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,10,Target/Goal,commitment,commitment,"21 Annual Benefit Corporation Report Sharing Best Practices  with Other Companies In support of our commitment to “use business to inspire  and implement solutions to the environmental crisis,” we will  share p",63
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,13,Target/Goal,reduce,reduce,y students that participated  in the 5th Annual Patagonia Case Competition  to propose solutions to reduce waste  generated throughout the entire life cycle of  our products—from design and manufacturing  t,118
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,15,Target/Goal,target,target,"Percentage of an employee’s  eligible annual bonus paid  out despite the company  not meeting sales targets  due to COVID-19 closure. $175,635.85 Dollars matched through our  Employee Charity Match  Program",403
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,15,Target/Goal,living wage,Living Wage,"tagonia employees  in the U.S., EMEA, Korea, Japan,  Argentina and Australia who  are paid at least Living Wage. 97%  Percentage of Patagonia’s eligible  U.S. employees who put money  away for retirement through",403
PAT_2021_BCorp_Report-REV-100125.pdf,2021,BCorp Report,15,Target/Goal,"\$\d+(?:,\d+)*(?:\.\d+)?\s*(?:million|billion|M|B)",$1.58 million,  conversation vary from protecting  our public lands to raising the  next generation of activists. $1.58 Million Precautionary pay hours paid  to hourly employees who were  unable to go into a Patagonia  facility,403
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,Target/Goal,supply chain,supply chain," May 1, 2021 to April 30, 2022. This statement details our efforts to combat modern  slavery in our supply chain pursuant to the California Supply Chain Transparency Act, UK Modern Slavery Act  2015, and Australi",549
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,Target/Goal,supply chain,Supply Chain,"tement details our efforts to combat modern  slavery in our supply chain pursuant to the California Supply Chain Transparency Act, UK Modern Slavery Act  2015, and Australia Modern Slavery Act. “Human Trafficking",549
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,Target/Goal,supply chain,supply chain,"cement, with employers to strengthen their due diligence against forced labour, including in their  supply chains, and with trade unions to represent and empower those at risk.” – The ILO Director General  1.	 Hu",549
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,Target/Goal,supply chain,supply chain," but human trafficking can be found in gar- ment factories, fabric and trim mills, and farms in the supply chain. Factories that use third-party labor  brokers or unmonitored subcontractors are particularly susce",549
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,Target/Goal,supply chain,supply chain,"on is taking to tackle modern slavery.” This statement details  Patagonia’s structure including its supply chain, its policies, due diligence, and training related to mod- ern slavery, and where there is risk of ",549
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,Target/Goal,supply chain,supply chain," 2018 requires entities “to report annually on the risks of modern  slavery in their operations and supply chains, and actions to address those risks.” This statement details  Patagonia’s structure, operations, a",549
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,3,Target/Goal,supply chain,supply chain,"and actions to address those risks.” This statement details  Patagonia’s structure, operations, and supply chain and identifies potential risks of modern slavery  practices, what actions Patagonia takes to assess",549
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,Target/Goal,commitment,commitment,"ies, that factory is  subject to our escalation policy, including a remediation plan to demonstrate commitment to erad- icating the practice.  In all cases, where a factory is a part of Patagonia’s supply chain",524
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,Target/Goal,supply chain,supply chain,"poration. Our products are sold in over 40 countries through  our stores, retailers and online. Our supply chain of finished goods factories and material suppliers  spans across 25 countries.  A list of our finis",524
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,Target/Goal,supply chain,supply chain,"ated regularly and published on  our website alongside a map that includes suppliers further in the supply chain.  Patagonia has long focused on preventing and, where necessary, remediating a wide range of issues",524
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,Target/Goal,supply chain,supply chain,"nia has long focused on preventing and, where necessary, remediating a wide range of issues in  our supply chain, including forced labor, child labor and other human rights abuses.  Patagonia has a  dedicated tea",524
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,Target/Goal,supply chain,supply chain,"2014.  In consultation with Verité, an independent non-profit  specializing in human trafficking in supply chains, the Standards were developed to protect migrant  workers throughout their employment life cycle, ",524
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,Target/Goal,supply chain,supply chain,"e commitment to erad- icating the practice.  In all cases, where a factory is a part of Patagonia’s supply chain, incidences or  conditions contributing to slavery or human trafficking are grounds to end business",524
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,4,Target/Goal,supply chain,supply chain," state and federal government to shed light on human trafficking, slav- ery, and child labor in the supply chain. We are hopeful that these and other human rights concerns will  continue to receive attention and ",524
PAT_2021_LegalDocuments-ModernSlaveryAct-012423.pdf,2021,Modern Slavery Act,5,Target/Goal,supply chain,supply chain," Patagonia to “disclose to what extent, if any, [the company]…[e]ngages in  verification of product supply chains to evaluate and address risks of human trafficking and slavery.   The disclosure shall specify if ",584
